# Office of Graduate Studies section crawled 2026-09-14
url	status	title	headings	words	links in section	links elsewhere on campus	links off site	emails	dates named	programs named
https://www.csueastbay.edu/graduate-studies/	200	Office of Graduate Studies	Office of Graduate Studies / Office of Graduate Studies / Office of Graduate Studies / Welcome to the Office of Graduate Studies! / The Office of Graduate Studies provides information and guidance for prospective and current graduate students about a broad range of academic programs and support services. / Explore our FAST, master’s, doctoral, credential & certificate programs / Master's / DOCTORAL / CREDENTIALS / CERTIFICATES / Falcon Accelerated Success Track (FAST) programs / Contact Us / Office of Graduate Studies / AVP of Research, Sponsored Programs, and Graduate Studies / Faculty Director of Graduate Studies / Graduate Student Success Facilitator / Graduate Student Success Facilitator / Graduate Student Success Facilitator	437	10	50	4	chandra.khan@csueastbay.edu, divya.sitaraman@csueastbay.edu, emilio.grande@csueastbay.edu, gradstudies@csueastbay.edu, ines.thiebaut@csueastbay.edu, joshua.kerr@csueastbay.edu, michelle.gravier@csueastbay.edu		43
https://www.csueastbay.edu/graduate-studies/prospective-grad-students.html	200	Prospective Graduate Students	Prospective Graduate Students / Getting Started / How to Apply / Admission Requirements /  / College of Business & Economics / College of Education & Allied Studies / College of Science / International Students / Cost of Attendance / Additional Information / Important Links:	1119	31	58	22			13
https://www.csueastbay.edu/graduate-studies/admitted-grad-students.html	200	Admitted/New Graduate Students	Admitted/New Graduate Students / Welcome to Graduate School at Cal State East Bay! /  / Next Steps / Next steps for newly admitted students / Orientation / Orientation / Advising / Advising / University Catalog / University Catalog / Alternative Accommodations / Alternative Accommodations / Important Links	448	29	23	7			1
https://www.csueastbay.edu/graduate-studies/current-grad-students.html	200	CURRENT STUDENTS	CURRENT STUDENTS / Graduate Student Handbook / GRADUATE STUDENT HANDBOOK / Graduate Events / GRADUATE EVENTS / Graduate Orientation / Dual or Second Master's Degree / DUAL OR SECOND MASTER’S DEGREE / Pursue two master’s degrees simultaneously (Dual Degree) / Earn a second master´s degree / Change of Graduate Objective / CHANGE OF GRADUATE OBJECTIVE / Graduate Opportunities and Financial Resources / GRADUATE OPPORTUNITIES AND FINANCIAL RESOURCES /  / Master's Thesis or Capstone Project / MASTER’S THESIS OR CAPSTONE PROJECT / Graduate Study Completion	1026	33	8	6		august 11	1
https://www.csueastbay.edu/graduate-studies/graduate-program-coordinators.html	200	Graduate Program Coordinators	Graduate Program Coordinators / Master's and Doctoral Programs / Credential and Certificate Programs	784	25	101	78			33
https://www.csueastbay.edu/graduate-studies/graduate-events.html	200	Upcoming Events:	Upcoming Events: / Fall 2026 Pathway to Graduate School Workshops / Tuesday, September 15th, 2026 / 1:00 PM – 3:00 PM / Are you interested in graduate school? / Fall 2026 Graduate School Fair / Thursday, October 8th, 2026 / 11:00 AM - 2:00 PM / CSU STEM-NET Research Talks / Graduate Program Information Sessions / PAST EVENTS: / Fall 2026 Graduate Student Welcome Event / Attention All Graduate Students! / Fall 2026 New Graduate Student Orientation / The Fall 2026 New Graduate Student Orientation will be held on Mon day, August 10th, 2026 in VBT 124 and via Zoom. / Spring 2026 End of the Year Celebration / East Bay Graduate Students and FAST Scholars / 2026 CSU-Wide Grad Slam Competition	3132	32	5	31	gradstudies@csueastbay.edu, orientation@csueastbay.edu	april 13, august 10, august 15, august 25, august 26, january 15, march 12, march 17, march 29, may 1, may 5, october 16	1
https://www.csueastbay.edu/graduate-studies/fast-programs.html	200	East Bay Falcon Accelerated Success Track (FAST) programs	East Bay Falcon Accelerated Success Track (FAST) programs / Complete your Bachelor's and Master's Degree in One Accelerated Pathway / What are East Bay FAST programs? / About Our Programs / FAST Programs List and Descriptions / FAST Program Information Sessions / What should I know about FAST programs? / Who is Eligible to Apply? / How to Apply? / How Much is the Program? / Am I Eligible for Financial Aid? / How are East Bay FAST Program Degrees Awarded? / Fast Program Advising / Who should I contact for questions? / FAST Programs Graduate Advisor List / College Undergraduate Advisor List	1870	27	89	30		august 18, october 2	11
https://www.csueastbay.edu/graduate-studies/index.html	200	Office of Graduate Studies	Office of Graduate Studies / Office of Graduate Studies / Office of Graduate Studies / Welcome to the Office of Graduate Studies! / The Office of Graduate Studies provides information and guidance for prospective and current graduate students about a broad range of academic programs and support services. / Explore our FAST, master’s, doctoral, credential & certificate programs / Master's / DOCTORAL / CREDENTIALS / CERTIFICATES / Falcon Accelerated Success Track (FAST) programs / Contact Us / Office of Graduate Studies / AVP of Research, Sponsored Programs, and Graduate Studies / Faculty Director of Graduate Studies / Graduate Student Success Facilitator / Graduate Student Success Facilitator / Graduate Student Success Facilitator	437	10	50	4	chandra.khan@csueastbay.edu, divya.sitaraman@csueastbay.edu, emilio.grande@csueastbay.edu, gradstudies@csueastbay.edu, ines.thiebaut@csueastbay.edu, joshua.kerr@csueastbay.edu, michelle.gravier@csueastbay.edu		43
https://www.csueastbay.edu/graduate-studies/the-next-step-csu-graduate-career-readiness.html	200	CSU Graduate Career Readiness Micro Credential Next Step	The Next Step: CSU Graduate Career Readiness / The Next Step: CSU Graduate Career Readiness / What Students Can Gain / Career Readiness Competencies / Cal State East Bay Faculty Contribution / Learn More and Enroll	397	25	1	1			0
https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/index.html	200	Graduate Student Handbook	Graduate Student Handbook	218	25	1	0			0
https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-introduction.html	200	Introduction	Introduction / Welcome / Graduate Program Coordinators / International Students / Financial Aid / Graduate Opportunities and Financial Resources	269	26	1	0			0
https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-requirements.html	200	CSUEB Graduate Degree Requirements and Policies	Graduate Degree Requirements and Policies / Requirements / Master's Degree Requirements / Master's Degree Requirements / Academic Course Load / Academic Course Load / Graduate Certificate Programs / Graduate Certificate Programs / Change in Educational Objective / Change in Educational Objective / Doctoral Degree Information / Doctoral Degree Information / Dual Master’s Degrees / Dual Master’s Degrees / Required Units for Full-Time Graduate Students / Required Units for Full-Time Graduate Students / Second Master’s Degree / Second Master’s Degree	6931	26	1	0	thesiseditor@csueastbay.edu		2
https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-admission-and-enrollment-information.html	200	Admission and Enrollment Information	Admission and Enrollment Information / Admission and Enrollment Information / Transitory Admission Eligibility / Transitory Admission Eligibility / Returning Graduate & Post Baccalaureate Students / Returning Graduate &amp; Post Baccalaureate Students / Enrollment & Degree Progress / Enrollment &amp; Degree Progress	519	26	1	0			0
https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-additional-information.html	200	Additional Information	Additional Information	111	26	1	0			0
https://www.csueastbay.edu/graduate-studies/graduate-student-handbook/grad-handbook-contact-information.html	200	Contact Information	Contact Information	129	26	1	0	gradstudies@csueastbay.edu		0
https://www.csueastbay.edu/graduate-studies/grad-slam-competition.html	200	Grad Slam Research Presentation Competition	Grad Slam Research Presentation Competition / Cal State East Bay Grad Slam 2026 / Monday, April 13th, 12-2 pm in UU MPR / Congratulations to the winners of our fourth annual Grad Slam competition! / The winners are: / STEM Categ ory: / 1st place: Aa'ishah Riaz M.S. Chemistry / 2nd place: Gehna Goel M.A. Interaction Design and Interactive Art /  / Non-STEM Categ ory: / 1st place: Jade Leyvas M.S. Speech Language Pathology / 2nd place: Rashmi Guttal M.S.W. Social Work / Update: Aa'ishah Riaz M.S. Chemistry won first place at the CSU-Wide Grad Slam competition beating participants from 22 other CSU campuses! Congratulations to her on her excellent research presentation. /  / Congratulations to all our Grad Slam finalists! ---- /  / Who Are Our Grad Slam Finalists? / WHAT IS GRAD SLAM?	1455	30	2	11	gradstudies@csueastbay.edu	april 13, march 29, march 6, may 1	9
https://www.csueastbay.edu/graduate-studies/graduate-program-assessment.html	200	Graduate Program Assessment	Graduate Program Assessment / Assessment of Graduate Programs / Second Cycle 2023-2028 / 2026-2027 Diversity and Social Justice / Diversity and Social Justice / 2025-2026: Quantitative Reasoning and Critical Thinking / Quantitative Reasoning and Critical Thinking / 2024-2025: Oral Communication and Information Literacy / Oral Communication and Information Literacy / 2023-2024: Written Communication / Written Communication / First Cycle 2018-2022 / 2022-2023: Collaboration, Teamwork, and Leadership / Collaboration, Teamwork, and Leadership / 2021-2022: Diversity and Social Justice / Diversity and Social Justice /  / 2020-2021: Oral Communication, Sustainability, and Social Responsibility	352	31	7	2			0
https://www.csueastbay.edu/graduate-studies/dual-or-second-masters-degree.html	200	Dual or Second Masters Degree	Dual or Second Masters Degree / Pursue two masters degrees simultaneously (Dual degree) / Earn a second master´s degree / Admission Requirements:	493	25	1	2			0
https://www.csueastbay.edu/graduate-studies/graduate-study-completion.html	200	Graduate Study Completion	Graduate Study Completion / General Studies XXXX 890	319	25	1	3			1
https://www.csueastbay.edu/graduate-studies/graduate-services.html	200	Graduate Student Services	Graduate Student Services	294	28	4	1		august 17	0
https://www.csueastbay.edu/graduate-studies/graduate-opportunities.html	200	Graduate Opportunities and Financial Resources	Graduate Opportunities and Financial Resources / Graduate Equity Fellowship / Deadline to apply for Academic Year 2027-2028 awards: May 1, 2027. / Program Eligibility: / Printable Forms: / California Pre-Doctoral Program / Program Eligibility / Application Process / California Pre-Doctoral Program - Health Professions Track / Chancellor's Doctoral Incentive Program (CDIP) / Information and Application / CSU Student Research Competition / OSCAR Scholar's Program / Golden State Teacher Grant Program (GSTG) / Description / Cal-Bridge Program / Other Grants	3207	30	17	24	gradstudies@csueastbay.edu	december 2, february 16, january 1, january 18, january 28, may 1	5
https://www.csueastbay.edu/graduate-studies/university-thesis.html	200	Master's Thesis or Capstone Project	Master's Thesis or Capstone Project / Modifications to Submission Process / Dear Master's Candidate / Dear Master's Candidate: / ﻿﻿Introduction / How to begin / ﻿Obtain thesis or project topic approval / If you plan to complete your thesis in the current semester - Initial Format Review / By the Initial Format Review deadline , students completing a University Thesis must submit: / After your draft is finished / University Thesis Defense / Departmental Theses or Capstone Project Defense / ﻿Final Format Review / By the Final Format Review deadline , students completing a University Thesis must submit: / AdobeSign Signature Page Process / Archiving your thesis or project / Open, Public Access to ScholarWorks. / ﻿﻿Deadlines	3853	31	23	6	archives@csueastbay.edu, gradstudies@csueastbay.edu, thesiseditor@csueastbay.edu	april 30, december 11, december 12, july 17, july 24, july 3, march 26, march 27, may 1, may 14, may 15, november 20	0
https://www.csueastbay.edu/graduate-studies/graduate-studies-calendar.html	200	Graduate Studies Calendar	Graduate Studies Calendar / 2025-2026 / Fall 2025 / Spring 2026 / 2024-2025 / Fall 2024 / Spring 2025	420	32	12	65			0
https://www.csueastbay.edu/graduate-studies/graduate-student-ambassadors.html	200	Graduate Student Ambassador Program	Graduate Student Ambassador Program / Graduate Student Ambassador Program / Fall 2025 Graduate Student Ambassadors / Spring 2025 Graduate Student Ambassadors / Benefits / Requirements / Eligibility and Instructions	2423	25	1	1			12
https://www.csueastbay.edu/graduate-studies/graduate-program-infosessions.html	200	Graduate Program Info Sessions	Graduate Program Info Sessions / Fall 2025 / College of Business and Economics Information Sessions / Master of Social Work Information Sessions / MS in Reading and literacy Information Sessions / School Psychology Information Sessions / Credential Information Sessions / MS IN SPEECH-LANGUAGE PATHOLOGY INFORMATION SESSIONS / Spring 2026 / College of Business and Economics Information Sessions / Master of Social Work Information Sessions / Credential Information Sessions / MS IN SPEECH-LANGUAGE PATHOLOGY INFORMATION SESSIONS	668	25	15	8		december 5, january 7	4
https://www.csueastbay.edu/graduate-studies/files/docs/events/financial-aid---graduate-school-fair-presentation.pptx	200			0	0	0	0			0
https://www.csueastbay.edu/graduate-studies/graduate-program-directory.html	404	HTTP Error 404 - File or directory not found		22	0	0	0			0
https://www.csueastbay.edu/graduate-studies/graduate-reinstatement.html	200	Graduate Reinstatement	Graduate Reinstatement / Graduate Reinstatement Policy / Graduate students seeking reinstatement must: / The Graduate Coordinator or Major Department Chair:	686	25	2	0			0
https://www.csueastbay.edu/graduate-studies/fast-program-details.html	200	FAST Program Specifics	FAST Program Specifics / Complete your Bachelor's and Master's Degree in One Accelerated Pathway / College of Business / BS Business Administration - Finance Concentration + MBA General Business Concentration / BS Business Administration - General Management Concentration + MBA General Business Concentration / BS Business Administration - General Management Concentration + MS Business Analytics / BS Business Administration - Human Resources Management & Organizational Behavior Concentration + MBA Human Resources Management and Organizational Behavior Concentration / BS Business Administration - Information Technology Management Concentration + MS Business Analytics / BS Business Administration - Marketing Management Concentration + MBA Marketing Management Concentration / BS Business Administration - Marketing Management Concentration + MS Marketing Analytics / BS Business Administration - Operations and Supply Chain Management Concentration + MBA Operations and Supply Chain Management Concentration / BS Business Administration - Operations and Supply Chain Management Concentration + MS Business Analytics / BS Economics + MBA / BS Economics + MS Business Analytics / College of Health / BS Kinesiology + MS Kinesiology (all concentrations) / College of Letters and Social Science / BA Anthropology + MA History	9641	76	3	46		january 15, march 1, march 30, november 30	12
https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2025.html	200	Grad Slam Research Presentation Competition	Grad Slam Research Presentation Competition / Cal State East Bay Grad Slam 2025 /  / Congratulations to the winners of our Third annual Grad Slam competition! / The winners are: / Non-STEM Categ ory: / 1st place: Sunaina Buttar M.S. Nursing / 2nd place: Jocelyn Garcia M.S. Reading and Literacy / STEM Category: / 1st place: Maria Ali M.S. Biological Sciences / 2nd place: Russell Marasigan M.S. Mathematics / The event will take place in-person on Monday, April 14th, 2025 in the University Union MPR room - 12:00 pm – 2:00 pm / Who are our Grad Slam Finalists? / WHAT IS GRAD SLAM? /  / WHY SIGN UP? /  / ELIGIBILITY	1392	29	2	12	gradstudies@csueastbay.edu	april 14, march 7, may 9	11
https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2024.html	200	Grad Slam Research Presentation Competition	Grad Slam Research Presentation Competition / Cal State East Bay Grad Slam 2024 /  / Congratulations to the winners of our Second annual Grad Slam competition! / The winners are: / Graduate Level: / 1st place: Ayushi Dwivedi M.S. Computer Science / 2nd Place: Alexandra Goodwin M.S. Reading and Literacy / Undergraduate Level / 1st Place: Gabrielle Gorostiza - PHAP / 2nd Place: Katie Hermanson - B.S. Physics /  /  / Our first and second place graduate level winners will now compete in the CSU-wide Grad Slam held by Cal State Long Beach on May 3th, 2024. More information is available here: https:// www.csulb.edu/graduate-studies/csu-grad-slam / Applications are now closed. The deadline to apply was Friday, March 8th, 2024 . /  / The event will take place in-person on Tuesday, April 16th, 2024 in the University Union MPR room - 12:00 pm – 2:00 pm / 	1298	28	2	10	gradstudies@csueastbay.edu	april 16, march 8, may 3	9
https://www.csueastbay.edu/graduate-studies/grad-slam-competition-2023.html	200	Grad Slam Graduate Research Presentation Competition	Grad Slam Graduate Research Presentation Competition / Cal State East Bay Grad Slam 2023 / 1st place: Preeti Sundaramurthi M.S. Biological Sciences / 2nd place: Tapasya Madhusudhan Solu M.S. Computer Science / 3rd place: Justin Matties M.S. Kinesiology / The event will take place in-person on Tuesday, April 11th, 2023 in the University Union MPR room - 12:00 pm – 2:00 pm / WHO ARE OUR GRAD SLAM FINALISTS? / WHAT IS GRAD SLAM? /  / WHY SIGN UP? /  / ELIGIBILITY / PRIZES /  / HOW TO APPLY / AFTER YOU HAVE APPLIED: / Rules and Judging Criteria / Competition Rules and Presentation Structure	1201	26	2	8	gradstudies@csueastbay.edu	april 11, april 13, march 1, may 5	9
https://www.csueastbay.edu/graduate-studies/collaboration-teawork-and-leadership-graduate-assessment-report.pdf	200			0	0	0	0			0
https://www.csueastbay.edu/graduate-studies/files/docs/diversity-and-social-justice-ilo-grad-report.pdf	200			0	0	0	0			0
https://www.csueastbay.edu/graduate-studies/files/docs/sustainability-grad-programs-report.pdf	200			0	0	0	0			0
https://www.csueastbay.edu/graduate-studies/files/docs/oral-communication-grad-programs-report.pdf	200			0	0	0	0			0
https://www.csueastbay.edu/graduate-studies/files/docs/gef-recommendation-form-2025.pdf	200			0	0	0	0			0
https://www.csueastbay.edu/graduate-studies/files/docs/events/2021-2022-gef-predoc-cdip.pptx	200			0	0	0	0			0
